"Customweb_BNPMercanetCw::* Required Fields","* Required Fields"
"Customweb_BNPMercanetCw::-- No Status Change --","-- No Status Change --"
"Customweb_BNPMercanetCw::0","0"
"Customweb_BNPMercanetCw::1","1"
"Customweb_BNPMercanetCw::10","10"
"Customweb_BNPMercanetCw::11","11"
"Customweb_BNPMercanetCw::12","12"
"Customweb_BNPMercanetCw::13","13"
"Customweb_BNPMercanetCw::14","14"
"Customweb_BNPMercanetCw::15","15"
"Customweb_BNPMercanetCw::16","16"
"Customweb_BNPMercanetCw::17","17"
"Customweb_BNPMercanetCw::18","18"
"Customweb_BNPMercanetCw::19","19"
"Customweb_BNPMercanetCw::2","2"
"Customweb_BNPMercanetCw::20","20"
"Customweb_BNPMercanetCw::21","21"
"Customweb_BNPMercanetCw::22","22"
"Customweb_BNPMercanetCw::23","23"
"Customweb_BNPMercanetCw::24","24"
"Customweb_BNPMercanetCw::25","25"
"Customweb_BNPMercanetCw::26","26"
"Customweb_BNPMercanetCw::27","27"
"Customweb_BNPMercanetCw::28","28"
"Customweb_BNPMercanetCw::29","29"
"Customweb_BNPMercanetCw::3","3"
"Customweb_BNPMercanetCw::30","30"
"Customweb_BNPMercanetCw::3D Secure","3D Secure con éxito"
"Customweb_BNPMercanetCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_BNPMercanetCw::3D Secure Minimum amount","3D Secure Minimum amount"
"Customweb_BNPMercanetCw::3D Secure failed","3D Secure fallado"
"Customweb_BNPMercanetCw::3D Secure sucess","3D Secure con éxito"
"Customweb_BNPMercanetCw::4","4"
"Customweb_BNPMercanetCw::5","5"
"Customweb_BNPMercanetCw::6","6"
"Customweb_BNPMercanetCw::7","7"
"Customweb_BNPMercanetCw::8","8"
"Customweb_BNPMercanetCw::9","9"
"Customweb_BNPMercanetCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">El formato esperado es '!format' donde el 'MM' significa el número del mes y 'YY' el número de años.</span>"
"Customweb_BNPMercanetCw::A authorized transaction cannot be authorized again.","Una transacción autorisada no puede ser autorisada otra vez"
"Customweb_BNPMercanetCw::A authorized transaction cannot be marked as failed.","Una transacción autorizada no puede ser marcado como fallada"
"Customweb_BNPMercanetCw::A cancelled transaction cannot be authorized.","Una transacción cancelada no puede ser autorizada"
"Customweb_BNPMercanetCw::A cancelled transaction cannot be cancelled again.","Una transacción cancelada no puede ser cancelada otra vez"
"Customweb_BNPMercanetCw::A cancelled transaction cannot be captured.","Una transacción cancelada no puede ser contabilizada"
"Customweb_BNPMercanetCw::A cancelled transaction cannot be marked as failed.","Una transacción cancelada no puede ser marcado como fallada"
"Customweb_BNPMercanetCw::A cancelled transaction cannot be refunded.","Una transacción cancelada no puede ser reembolsada"
"Customweb_BNPMercanetCw::A captured transaction cannot be authorized.","Una transacción contabilizada no puede ser autorizada"
"Customweb_BNPMercanetCw::A captured transaction cannot be cancelled.","Una transacción contabilizada no puede ser cancelada"
"Customweb_BNPMercanetCw::A captured transaction cannot be marked as failed.","Una transacción contabilizada no puede ser marcado como fallada"
"Customweb_BNPMercanetCw::A failed authorization cannot be authorized.","Una autorización fallada no puede ser autorizada"
"Customweb_BNPMercanetCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Algunos métodos de pago no están permitidos para ciertos países. Usted puede decidir en qué momento la verificación de disponibilidad se va a realizar. Recomendamos 'Durante la autorización'."
"Customweb_BNPMercanetCw::A refund was added over !amount.","Un reembolso se añadió durante  !amount."
"Customweb_BNPMercanetCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transacción puede ser incierto, cuando no se garantiza el pago. Por ejemplo en el caso de la tarjeta de crédito no participa en el procedimiento de 3D​​."
"Customweb_BNPMercanetCw::About","About"
"Customweb_BNPMercanetCw::Account Holder Name","Titular de la cuenta Nombre"
"Customweb_BNPMercanetCw::Account owner name.","Nombre del titular"
"Customweb_BNPMercanetCw::Action","Acción"
"Customweb_BNPMercanetCw::Actions","Actions"
"Customweb_BNPMercanetCw::Activate","Activate"
"Customweb_BNPMercanetCw::Activate the payment method that you want to accept payments with.","Activate the payment method that you want to accept payments with."
"Customweb_BNPMercanetCw::Active","Active"
"Customweb_BNPMercanetCw::Additional Information","Additional Information"
"Customweb_BNPMercanetCw::Adjust Qty","Ajuste de cantidad"
"Customweb_BNPMercanetCw::Adjustment Discount","Adjustment Discount"
"Customweb_BNPMercanetCw::Adjustment Fee","Adjustment Fee"
"Customweb_BNPMercanetCw::After payment selection","Después de elegir la forma de pago"
"Customweb_BNPMercanetCw::Ajax authorization not supported.","Autorización Ajax no es compatibl"
"Customweb_BNPMercanetCw::Alias","Alias"
"Customweb_BNPMercanetCw::Alias For Display","Alias ​​para la exhibición"
"Customweb_BNPMercanetCw::All Customers","All Customers"
"Customweb_BNPMercanetCw::Allowed Currencies","Allowed Currencies"
"Customweb_BNPMercanetCw::Allowed currencies for this payment method","Moneda permitida para esta forma de pago"
"Customweb_BNPMercanetCw::Already registered?","Already registered?"
"Customweb_BNPMercanetCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_BNPMercanetCw::American Express","American Express"
"Customweb_BNPMercanetCw::Amount","Montante"
"Customweb_BNPMercanetCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_BNPMercanetCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_BNPMercanetCw::Author","Author"
"Customweb_BNPMercanetCw::Authorisation request to be performed via telephone with the issuer, as the card authorisation threshold has been exceeded, if the forcing is authorised for the merchant.","Solicitud de autorización para llevar a cabo a través del teléfono con el emisor, como se ha superado el umbral de autorización de la tarjeta, si el forzamiento está autorizado para el comerciante."
"Customweb_BNPMercanetCw::Authorization Amount","Importe de autorisación"
"Customweb_BNPMercanetCw::Authorization Failed","Autorisación fallada"
"Customweb_BNPMercanetCw::Authorization Method","Método de autorización"
